cust_code,cust_price_sensitivity,cust_lifestage
CUST0000646899,Less Affluent,Older Adults
CUST0000109120,unclassified,Young Adults
CUST0000894444,Mid Market,Other
CUST0000523791,Less Affluent,Other
CUST0000804925,Up Market,Older Adults
CUST0000025448,Mid Market,Young Families
CUST0000794349,Mid Market,Older Adults
CUST0000767888,Less Affluent,Young Families
CUST0000476201,Up Market,Young Adults
CUST0000595333,Up Market,Young Adults
CUST0000899882,Mid Market,Young Families
CUST0000491694,Mid Market,Other
CUST0000489934,Up Market,Young Adults
CUST0000850673,Mid Market,Other
CUST0000609675,Up Market,Older Adults
CUST0000785583,Mid Market,Pensioners
CUST0000016087,Up Market,Older Families
CUST0000163355,Mid Market,Other
CUST0000959210,Mid Market,Young Adults
CUST0000764520,Mid Market,Young Families
CUST0000868748,Up Market,Other
CUST0000754753,Mid Market,Other
CUST0000049424,Up Market,
CUST0000951367,Less Affluent,Other
CUST0000648788,Mid Market,Young Adults
CUST0000078777,Less Affluent,Older Families
CUST0000670676,Up Market,Other
CUST0000602024,Less Affluent,Young Adults
CUST0000414915,Less Affluent,Older Adults
CUST0000967041,Up Market,Older Adults
CUST0000456145,Mid Market,Pensioners
CUST0000635024,Up Market,Older Adults
CUST0000968222,Mid Market,Other
CUST0000458006,Less Affluent,Pensioners
CUST0000061472,Mid Market,Young Adults
CUST0000057033,Up Market,Other
CUST0000310512,Up Market,Older Adults
CUST0000931984,Up Market,
CUST0000009537,Up Market,
CUST0000824453,Less Affluent,Other
CUST0000328659,Less Affluent,
CUST0000847593,Mid Market,Other
CUST0000234190,Mid Market,Older Families
CUST0000042310,Mid Market,Young Families
CUST0000321850,Mid Market,Other
CUST0000325483,Less Affluent,
CUST0000280589,Up Market,Young Families
CUST0000149614,Less Affluent,Older Families
CUST0000793074,Less Affluent,
CUST0000282130,Mid Market,Young Adults
CUST0000864337,Less Affluent,Other
CUST0000061263,Mid Market,Pensioners
CUST0000078328,Up Market,
CUST0000697528,Mid Market,Other
CUST0000725494,Mid Market,Other
CUST0000284103,Up Market,Other
CUST0000624170,Mid Market,Young Families
CUST0000713877,Mid Market,
CUST0000699367,Mid Market,Other
CUST0000779812,Mid Market,Other
CUST0000318461,Up Market,Other
CUST0000579835,Mid Market,Pensioners
CUST0000964191,Less Affluent,Other
CUST0000980418,Mid Market,Older Families
CUST0000455947,Mid Market,Older Families
CUST0000656319,Up Market,Older Adults
CUST0000091896,Mid Market,Other
CUST0000411364,Mid Market,Pensioners
CUST0000749091,Less Affluent,Other
CUST0000309773,Mid Market,Young Families
CUST0000561300,Mid Market,Other
CUST0000744925,Mid Market,Older Adults
CUST0000027188,Less Affluent,Young Families
CUST0000187885,Up Market,
CUST0000713486,Less Affluent,Pensioners
CUST0000065671,Less Affluent,Other
CUST0000487479,Less Affluent,Older Families
CUST0000057088,Mid Market,
CUST0000918102,Less Affluent,Older Families
CUST0000862670,Up Market,Young Adults
CUST0000983830,Mid Market,Young Families
CUST0000130658,Up Market,Older Adults
CUST0000324222,Less Affluent,Pensioners
CUST0000371949,Up Market,Other
CUST0000224145,Up Market,Other
CUST0000582217,Less Affluent,
CUST0000069624,Less Affluent,Other
CUST0000422914,Mid Market,Other
CUST0000818812,Mid Market,Young Adults
CUST0000099530,Mid Market,Young Families
CUST0000907948,Up Market,Other
CUST0000843006,Mid Market,Other
CUST0000639274,Up Market,
CUST0000085249,Up Market,Other
CUST0000509394,Less Affluent,Young Adults
CUST0000253846,Less Affluent,Young Families
CUST0000805786,Mid Market,
CUST0000199180,Mid Market,Older Adults
CUST0000656130,Mid Market,Young Families
CUST0000093607,Less Affluent,Pensioners
CUST0000855939,Less Affluent,
CUST0000782062,Mid Market,Other
CUST0000940633,Up Market,Young Adults
CUST0000855087,Mid Market,Young Adults
CUST0000102309,Up Market,Young Adults
CUST0000729898,Up Market,Pensioners
CUST0000506100,Less Affluent,Other
CUST0000132235,Less Affluent,Young Families
CUST0000218305,Up Market,Other
CUST0000899003,Mid Market,Other
CUST0000073199,Mid Market,Older Adults
CUST0000839736,Up Market,Older Adults
CUST0000258097,Mid Market,Older Families
CUST0000931901,Less Affluent,Young Families
CUST0000310334,Less Affluent,Young Adults
CUST0000099315,Mid Market,Older Adults
CUST0000209037,Less Affluent,
CUST0000018911,Less Affluent,
CUST0000843286,Mid Market,Other
CUST0000919465,Mid Market,Older Adults
CUST0000965378,Mid Market,Pensioners
CUST0000647281,Less Affluent,Other
CUST0000726362,Up Market,Older Adults
CUST0000653545,Less Affluent,Other
CUST0000297608,Mid Market,Young Families
CUST0000142262,Mid Market,
CUST0000969460,Mid Market,Young Families
CUST0000799807,Mid Market,Other
CUST0000760393,Less Affluent,Young Families
CUST0000260876,Up Market,Other
CUST0000292985,Less Affluent,
CUST0000660590,Mid Market,Other
CUST0000113976,Up Market,Other
CUST0000311496,Mid Market,Other
CUST0000313722,Mid Market,Young Adults
CUST0000531481,Mid Market,Older Adults
CUST0000686580,Less Affluent,Older Adults
CUST0000370351,Mid Market,Young Families
CUST0000288788,Mid Market,Other
CUST0000651826,Mid Market,Other
CUST0000914396,Less Affluent,
CUST0000568724,Up Market,Pensioners
CUST0000530875,Mid Market,Older Families
CUST0000595430,Mid Market,Young Families
CUST0000762076,Up Market,Young Adults
CUST0000318596,Mid Market,Older Adults
CUST0000762118,Less Affluent,
CUST0000397207,Mid Market,Young Adults
CUST0000276429,Mid Market,Pensioners
CUST0000465140,Less Affluent,Other
CUST0000124113,Less Affluent,Other
CUST0000544383,Mid Market,Pensioners
CUST0000971135,Less Affluent,Young Adults
CUST0000402327,Mid Market,Young Families
CUST0000735077,Mid Market,Older Families
CUST0000653101,Less Affluent,
CUST0000308745,Less Affluent,Older Families
CUST0000561978,Up Market,Young Adults
CUST0000074550,unclassified,Other
CUST0000317490,Mid Market,Other
CUST0000752292,Up Market,Other
CUST0000600338,Less Affluent,Young Families
CUST0000767872,Less Affluent,Other
CUST0000677532,Less Affluent,Young Adults
CUST0000761811,Up Market,Other
CUST0000901390,Mid Market,Older Adults
CUST0000459058,Up Market,Older Adults
CUST0000994225,Up Market,Other
CUST0000640214,Mid Market,Older Adults
CUST0000369556,Mid Market,
CUST0000188655,Mid Market,
CUST0000138854,Less Affluent,Young Families
CUST0000436351,Mid Market,Other
CUST0000302718,Up Market,Other
CUST0000146770,Mid Market,Young Families
CUST0000999385,Up Market,Older Adults
CUST0000553751,Mid Market,Pensioners
CUST0000223076,Up Market,Pensioners
CUST0000872792,Up Market,Older Adults
CUST0000786243,Mid Market,Young Adults
CUST0000439239,Mid Market,Other
CUST0000821330,Less Affluent,
CUST0000272853,Less Affluent,Young Families
CUST0000684800,Mid Market,Other
CUST0000213955,Up Market,Other
CUST0000837146,Mid Market,Young Adults
CUST0000895972,Mid Market,Young Families
CUST0000785478,Mid Market,
CUST0000256112,Less Affluent,Pensioners
CUST0000371535,Less Affluent,Young Families
CUST0000517648,Mid Market,Pensioners
CUST0000140306,Mid Market,Young Families
CUST0000856322,Mid Market,Young Families
CUST0000603535,Mid Market,Young Adults
CUST0000534608,Mid Market,Young Families
CUST0000071732,Up Market,Young Families
CUST0000126668,Less Affluent,Young Families
CUST0000465192,Less Affluent,Other
CUST0000373868,Mid Market,
CUST0000225040,Less Affluent,Young Families
CUST0000690650,Up Market,Pensioners
CUST0000453430,Less Affluent,Young Families
CUST0000645774,Mid Market,Other
CUST0000049075,Less Affluent,Pensioners
CUST0000729056,Mid Market,Other
CUST0000627626,Mid Market,Other
CUST0000670207,Up Market,Other
CUST0000574637,Up Market,Other
CUST0000993271,Up Market,Other
CUST0000238146,Mid Market,
CUST0000029729,Up Market,Older Adults
CUST0000440411,Less Affluent,Young Adults
CUST0000777842,Up Market,Older Adults
CUST0000806551,Less Affluent,Young Families
CUST0000549120,Less Affluent,Young Families
CUST0000753263,Less Affluent,Pensioners
CUST0000053274,Mid Market,Other
CUST0000179031,Mid Market,Young Families
CUST0000291861,Less Affluent,Other
CUST0000987769,Less Affluent,Young Adults
CUST0000488624,Less Affluent,Young Families
CUST0000221356,Up Market,Young Families
CUST0000054115,Mid Market,Other
CUST0000384891,Mid Market,Young Adults
CUST0000918881,Up Market,
CUST0000288518,Mid Market,Other
CUST0000717077,Up Market,Other
CUST0000432169,Up Market,
CUST0000310786,Mid Market,Older Adults
CUST0000780100,Up Market,Young Adults
CUST0000049612,Less Affluent,
CUST0000772661,Mid Market,Pensioners
CUST0000643095,Up Market,Young Adults
CUST0000855714,Up Market,Young Families
CUST0000425755,Mid Market,
CUST0000473207,Less Affluent,Pensioners
CUST0000227629,Mid Market,Other
CUST0000722230,Mid Market,Young Adults
CUST0000903739,Up Market,Young Adults
CUST0000945332,Up Market,Other
CUST0000953463,Up Market,Young Families
CUST0000737688,Up Market,Pensioners
CUST0000656750,Mid Market,
CUST0000827922,Mid Market,Other
CUST0000612602,Mid Market,
CUST0000522632,Mid Market,
CUST0000131200,Up Market,Older Adults
CUST0000538692,Mid Market,Older Adults
CUST0000670072,Less Affluent,Older Families
CUST0000692260,Up Market,Other
CUST0000162349,Mid Market,Other
CUST0000554743,Mid Market,
CUST0000485753,Mid Market,Other
CUST0000785295,Up Market,
CUST0000860875,Mid Market,Other
CUST0000470110,Mid Market,Pensioners
CUST0000032813,Up Market,Other
CUST0000573047,Mid Market,Older Adults
CUST0000587787,Mid Market,Young Families
CUST0000555784,Up Market,Older Adults
CUST0000822085,Mid Market,Older Adults
CUST0000883283,Less Affluent,Older Adults
CUST0000746862,Up Market,Pensioners
CUST0000029009,Less Affluent,Young Adults
CUST0000356601,Up Market,Older Adults
CUST0000219249,Less Affluent,Other
CUST0000567295,Mid Market,Other
CUST0000803113,Up Market,Pensioners
CUST0000918630,Less Affluent,Other
CUST0000412288,Less Affluent,Older Adults
CUST0000594668,Less Affluent,Older Adults
CUST0000838538,Mid Market,Other
CUST0000980408,Up Market,Young Adults
CUST0000128103,Less Affluent,Young Families
CUST0000248273,Mid Market,Older Adults
CUST0000001437,Mid Market,Older Adults
CUST0000166823,Less Affluent,Older Families
CUST0000433913,Mid Market,
CUST0000851860,Mid Market,Young Families
CUST0000701483,Up Market,Young Adults
CUST0000177095,Mid Market,Older Adults
CUST0000672560,Mid Market,Young Adults
CUST0000404216,Less Affluent,Other
CUST0000264107,Mid Market,
CUST0000703822,Up Market,Other
CUST0000950666,Less Affluent,
CUST0000137504,Less Affluent,Pensioners
CUST0000311194,Mid Market,
CUST0000597770,Up Market,Older Adults
CUST0000545821,Mid Market,Young Families
CUST0000102331,Up Market,Older Families
CUST0000916536,Mid Market,
CUST0000159899,Up Market,
CUST0000436863,Mid Market,Young Adults
CUST0000707875,Less Affluent,Older Adults
CUST0000205547,Up Market,Young Adults
CUST0000389267,Less Affluent,Older Families
CUST0000027294,unclassified,Older Families
CUST0000260311,Up Market,Other
CUST0000504497,Mid Market,Young Families
CUST0000425801,Up Market,Pensioners
CUST0000235779,Up Market,Pensioners
CUST0000006445,Up Market,Young Adults
CUST0000491740,Less Affluent,Other
CUST0000610428,Less Affluent,Other
CUST0000705250,Less Affluent,
CUST0000804462,Less Affluent,Other
CUST0000100419,Less Affluent,Young Adults
CUST0000620867,Up Market,Other
CUST0000249577,Less Affluent,Young Families
CUST0000250864,Up Market,Other
CUST0000086976,Mid Market,Other
CUST0000697061,Less Affluent,Older Adults
CUST0000730479,Mid Market,Other
CUST0000306580,Mid Market,
CUST0000701142,Up Market,Other
CUST0000076793,Mid Market,Pensioners
CUST0000587584,Mid Market,Young Adults
CUST0000670191,Mid Market,
CUST0000088701,Less Affluent,
CUST0000545161,Less Affluent,Other
CUST0000290793,Mid Market,Young Families
CUST0000759545,Less Affluent,Young Families
CUST0000995323,Less Affluent,Young Adults
CUST0000168307,Less Affluent,Older Adults
CUST0000643225,Less Affluent,Older Families
CUST0000671253,Mid Market,Young Adults
CUST0000728277,Mid Market,Young Families
CUST0000620929,Less Affluent,Young Families
CUST0000087895,Mid Market,Young Adults
CUST0000534245,Less Affluent,Young Families
CUST0000506991,Up Market,Young Adults
CUST0000878361,Mid Market,Other
CUST0000926292,Mid Market,Young Families
CUST0000161967,Mid Market,Other
CUST0000329564,Mid Market,
CUST0000556728,Up Market,
CUST0000796287,Less Affluent,Other
CUST0000966156,Mid Market,Pensioners
CUST0000445924,Up Market,Young Families
CUST0000634919,Mid Market,Pensioners
CUST0000732461,unclassified,Other
CUST0000516705,Mid Market,Other
CUST0000150892,Mid Market,
CUST0000920214,Up Market,Older Adults
CUST0000010805,Mid Market,Other
CUST0000078429,Less Affluent,Young Adults
CUST0000046348,Up Market,Young Families
CUST0000834203,Up Market,Other
CUST0000689944,unclassified,
CUST0000374335,Mid Market,Young Families
CUST0000740845,Mid Market,Older Adults
CUST0000276604,Mid Market,Other
CUST0000028077,Up Market,Other
CUST0000580080,Mid Market,Other
CUST0000124963,Less Affluent,Older Adults
CUST0000362355,Up Market,
CUST0000385636,Mid Market,Other
CUST0000001480,Mid Market,
CUST0000807896,Mid Market,
CUST0000614343,Up Market,Young Adults
CUST0000578661,Mid Market,Other
CUST0000266152,Mid Market,Other
CUST0000299856,Up Market,
CUST0000618985,Up Market,Other
CUST0000235664,Up Market,Other
CUST0000818932,Mid Market,Young Families
CUST0000622665,Less Affluent,Other
CUST0000985163,Up Market,
CUST0000920332,Up Market,Young Families
CUST0000193087,Less Affluent,Older Adults
CUST0000797294,Less Affluent,Young Families
CUST0000261381,Less Affluent,Other
CUST0000075376,Up Market,Young Families
CUST0000341445,Mid Market,Pensioners
CUST0000576210,Up Market,Pensioners
CUST0000732049,Mid Market,
CUST0000009737,Mid Market,Older Adults
CUST0000019017,unclassified,Other
CUST0000420072,Less Affluent,Other
CUST0000132151,Up Market,Pensioners
CUST0000539281,Up Market,Young Families
CUST0000142590,Up Market,Young Families
CUST0000885214,Up Market,Other
CUST0000374744,Up Market,Young Adults
CUST0000810379,Less Affluent,Other
CUST0000675797,Up Market,Pensioners
CUST0000428465,Less Affluent,Young Adults
CUST0000913995,Less Affluent,Young Adults
CUST0000784004,Up Market,Other
CUST0000106639,Up Market,
CUST0000571830,Mid Market,Other
CUST0000057417,Less Affluent,Other
CUST0000962337,Mid Market,Older Adults
CUST0000744271,Less Affluent,Young Adults
CUST0000959332,Up Market,Pensioners
CUST0000077708,Up Market,Young Families
CUST0000814656,Mid Market,Young Families
CUST0000941865,Mid Market,Other
CUST0000049880,Less Affluent,Older Adults
CUST0000473868,Less Affluent,Other
CUST0000693928,Mid Market,Young Adults
CUST0000493531,Mid Market,Young Families
CUST0000535175,Less Affluent,Other
CUST0000473526,Up Market,Older Adults
CUST0000764077,Up Market,Other
CUST0000342959,Mid Market,Young Families
CUST0000298408,Up Market,Young Adults
CUST0000946591,Mid Market,Older Adults
CUST0000487322,Mid Market,Older Adults
CUST0000292032,Mid Market,Young Adults
CUST0000474951,Up Market,Young Adults
CUST0000249670,Up Market,
CUST0000491958,Less Affluent,Young Families
CUST0000882821,Mid Market,Other
CUST0000628533,Mid Market,
CUST0000573884,Less Affluent,Older Families
CUST0000901687,Less Affluent,Older Families
CUST0000687290,Mid Market,Other
CUST0000139484,Mid Market,Older Families
CUST0000925379,Less Affluent,Other
CUST0000749956,Mid Market,Young Families
CUST0000708577,Mid Market,Young Adults
CUST0000425467,Mid Market,
CUST0000797753,Mid Market,
CUST0000033395,Mid Market,Other
CUST0000569300,Mid Market,Other
CUST0000919241,Mid Market,Older Adults
CUST0000977889,unclassified,
CUST0000646378,Up Market,Pensioners
CUST0000463293,Mid Market,Other
CUST0000636231,Up Market,
CUST0000693465,Up Market,Other
CUST0000193010,Mid Market,Other
CUST0000151825,Less Affluent,Other
CUST0000782631,Up Market,Young Families
CUST0000592884,Less Affluent,Young Families
CUST0000538028,Mid Market,
CUST0000758911,Up Market,Young Adults
CUST0000923667,Mid Market,Older Adults
CUST0000975272,Up Market,
CUST0000457990,Up Market,Older Adults
CUST0000052765,Mid Market,Young Adults
CUST0000536304,Up Market,Young Adults
CUST0000680311,Mid Market,
CUST0000594351,Up Market,Other
CUST0000974297,Up Market,Older Adults
CUST0000207778,Mid Market,Other
CUST0000104035,Mid Market,Other
CUST0000996270,Mid Market,Young Families
CUST0000293597,Mid Market,Young Families
CUST0000023618,Mid Market,Young Adults
CUST0000636345,Mid Market,Young Families
CUST0000181525,Up Market,Older Adults
CUST0000538613,Up Market,Young Adults
CUST0000367460,unclassified,
CUST0000297521,Mid Market,Other
CUST0000486332,Up Market,Young Adults
CUST0000529423,Mid Market,
CUST0000321957,Up Market,Other
CUST0000541290,Mid Market,Older Adults
CUST0000805533,Mid Market,Other
CUST0000191339,Up Market,
CUST0000846201,Mid Market,Young Adults
CUST0000454102,unclassified,Other
CUST0000731413,Mid Market,Young Adults
CUST0000780835,Up Market,Young Families
CUST0000085435,Less Affluent,Young Families
CUST0000846163,Up Market,Young Families
CUST0000058634,Mid Market,
CUST0000797755,Mid Market,Young Families
CUST0000531824,Mid Market,Young Families
CUST0000664457,Up Market,Other
CUST0000973965,Mid Market,Older Families
CUST0000211064,Mid Market,Young Adults
CUST0000376367,Up Market,Older Adults
CUST0000894937,unclassified,Other
CUST0000872900,Less Affluent,
CUST0000815801,Less Affluent,Pensioners
CUST0000782246,Up Market,Young Families
CUST0000048320,Mid Market,Other
CUST0000453780,Less Affluent,Older Adults
CUST0000631712,Mid Market,Young Families
CUST0000214716,Mid Market,Other
CUST0000989268,Less Affluent,Young Adults
CUST0000104986,Mid Market,Pensioners
CUST0000699742,Mid Market,Young Families
CUST0000381350,Up Market,Young Adults
CUST0000375659,Mid Market,Other
CUST0000170672,Up Market,Pensioners
CUST0000926667,Less Affluent,Young Families
CUST0000077294,Up Market,Older Adults
CUST0000608511,Less Affluent,Older Adults
CUST0000433962,Less Affluent,Older Families
CUST0000536902,Less Affluent,Older Adults
CUST0000220595,Less Affluent,Other
CUST0000058875,Mid Market,Other
CUST0000138774,Mid Market,Young Families
CUST0000944418,Up Market,Young Adults
CUST0000827064,Mid Market,Other
CUST0000501747,Mid Market,Older Adults
CUST0000696106,Mid Market,Other
CUST0000586284,Less Affluent,Young Families
CUST0000302355,Less Affluent,
CUST0000893636,Up Market,Young Adults
CUST0000657924,Less Affluent,Older Families
CUST0000346251,Mid Market,Young Families
CUST0000258658,Up Market,Young Adults
CUST0000863879,Mid Market,Other
CUST0000296291,Up Market,Pensioners
CUST0000603688,Mid Market,
CUST0000088309,Less Affluent,
CUST0000584930,Up Market,
CUST0000856617,Less Affluent,Young Families
CUST0000327274,Mid Market,Older Adults
CUST0000356067,Mid Market,Young Families
CUST0000322183,Less Affluent,Other
CUST0000473962,Up Market,Other
CUST0000307236,Up Market,Other
CUST0000912429,Up Market,Other
CUST0000566977,Mid Market,Other
CUST0000981826,Mid Market,Other
CUST0000007988,Less Affluent,Older Families
CUST0000756628,Mid Market,Other
CUST0000990044,Less Affluent,Pensioners
CUST0000531741,Less Affluent,Other
CUST0000624842,Less Affluent,Other
CUST0000239699,Mid Market,Pensioners
CUST0000371191,Less Affluent,Older Adults
CUST0000295167,Up Market,Other
CUST0000480643,Mid Market,Young Adults
CUST0000096346,Up Market,Young Adults
CUST0000962041,Mid Market,Pensioners
CUST0000503973,Mid Market,Older Families
CUST0000367454,Mid Market,Other
CUST0000767525,Mid Market,Young Adults
CUST0000161994,Up Market,Young Families
CUST0000887195,Up Market,Other
CUST0000167262,Less Affluent,Young Adults
CUST0000691264,Mid Market,Other
CUST0000589596,Mid Market,Older Adults
CUST0000180856,Less Affluent,
CUST0000885800,Mid Market,Older Adults
CUST0000295901,Up Market,Young Adults
CUST0000438072,Less Affluent,Older Families
CUST0000014549,Less Affluent,Older Adults
CUST0000478905,Up Market,Young Adults
CUST0000179746,Mid Market,Pensioners
CUST0000757203,Up Market,Young Families
CUST0000359521,Mid Market,Older Adults
CUST0000744976,Less Affluent,Older Adults
CUST0000758105,Up Market,Older Families
CUST0000102015,Less Affluent,Other
CUST0000717337,Mid Market,Other
CUST0000035935,Mid Market,Other
CUST0000231131,Less Affluent,Young Families
CUST0000359197,Up Market,Young Families
CUST0000794930,Up Market,Other
CUST0000277064,Up Market,
CUST0000950918,Mid Market,Older Adults
CUST0000822088,Less Affluent,Pensioners
CUST0000727862,Mid Market,Other
CUST0000076243,Mid Market,Young Families
CUST0000680928,Mid Market,Young Families
CUST0000329411,Mid Market,Pensioners
CUST0000629332,Up Market,Older Adults
CUST0000979243,Up Market,Young Adults
CUST0000465439,Less Affluent,
CUST0000497560,Up Market,Young Adults
CUST0000601102,Mid Market,Other
CUST0000314496,Up Market,Pensioners
CUST0000989318,Mid Market,Other
CUST0000572321,Up Market,Young Adults
CUST0000388176,Mid Market,
CUST0000063939,Up Market,
CUST0000658490,Mid Market,Other
CUST0000084449,Mid Market,Other
CUST0000578851,Less Affluent,
CUST0000679894,Mid Market,Young Families
CUST0000401763,Mid Market,Other
CUST0000456966,Less Affluent,Other
CUST0000241252,Up Market,
CUST0000060800,Up Market,
CUST0000366661,Mid Market,Young Families
CUST0000434714,Less Affluent,Other
CUST0000860999,Less Affluent,Older Families
CUST0000022814,Up Market,Other
CUST0000847458,Mid Market,Other
CUST0000047548,Up Market,Young Adults
CUST0000783946,Less Affluent,Older Adults
CUST0000616650,Mid Market,Other
CUST0000503994,Mid Market,Young Families
CUST0000485331,Mid Market,Young Families
CUST0000610089,Up Market,Pensioners
CUST0000953220,Mid Market,Other
CUST0000696692,Mid Market,Other
CUST0000490625,Mid Market,Young Families
CUST0000765586,Up Market,Older Adults
CUST0000521560,Less Affluent,Young Adults
CUST0000086768,Mid Market,Young Adults
CUST0000246949,Up Market,Other
CUST0000454947,Mid Market,Older Adults
CUST0000497325,Up Market,Young Adults
CUST0000687717,Less Affluent,Young Adults
CUST0000397821,Up Market,Other
CUST0000156198,Less Affluent,Older Adults
CUST0000526081,Up Market,Other
CUST0000127498,Less Affluent,Older Adults
CUST0000400134,Mid Market,Other
CUST0000225754,Mid Market,Older Adults
CUST0000062780,Less Affluent,Older Adults
CUST0000659723,Up Market,Young Adults
CUST0000846460,Mid Market,Other
CUST0000256243,Mid Market,Pensioners
CUST0000926130,Mid Market,
CUST0000228256,Up Market,Other
CUST0000115390,Mid Market,Young Adults
CUST0000105720,Up Market,Older Adults
CUST0000575003,Mid Market,Other
CUST0000784006,Up Market,Pensioners
CUST0000572442,Mid Market,Older Adults
CUST0000869536,Up Market,Older Adults
CUST0000992313,Up Market,Older Families
CUST0000862094,Mid Market,Young Adults
CUST0000957318,Up Market,Young Adults
CUST0000465054,Mid Market,
CUST0000768393,Mid Market,Young Families
CUST0000813194,Mid Market,Pensioners
CUST0000762907,Mid Market,Young Adults
CUST0000244654,Up Market,Other
CUST0000858503,Mid Market,
CUST0000080372,Less Affluent,Other
CUST0000853841,Mid Market,Pensioners
CUST0000016975,Less Affluent,Other
CUST0000324362,Up Market,Young Adults
CUST0000055064,Mid Market,Young Adults
CUST0000376598,Up Market,Pensioners
CUST0000888005,Mid Market,Other
CUST0000264079,Less Affluent,Young Adults
CUST0000846113,Less Affluent,Other
CUST0000812379,Less Affluent,Young Adults
CUST0000088955,Mid Market,Young Adults
CUST0000240228,Less Affluent,Young Adults
CUST0000195975,Less Affluent,Young Adults
CUST0000090508,Less Affluent,Young Families
CUST0000730173,unclassified,Other
CUST0000335650,Less Affluent,Young Families
CUST0000820324,Mid Market,Older Adults
CUST0000997627,Less Affluent,Young Adults
CUST0000208533,Less Affluent,Young Families
CUST0000344295,Up Market,Young Families
CUST0000413197,Mid Market,Older Families
CUST0000589449,Less Affluent,Other
CUST0000264835,Mid Market,Young Families
CUST0000158972,Less Affluent,Other
CUST0000043076,Mid Market,Other
CUST0000048286,Less Affluent,Young Families
CUST0000813105,unclassified,
CUST0000120088,Less Affluent,Young Families
CUST0000510147,Less Affluent,Older Adults
CUST0000763608,Up Market,Other
CUST0000558880,Up Market,Young Families
CUST0000677070,Mid Market,Young Families
CUST0000788111,Mid Market,
CUST0000832283,Mid Market,Other
CUST0000815318,Mid Market,Other
CUST0000771758,Mid Market,Pensioners
CUST0000229117,Mid Market,Young Families
CUST0000088575,Less Affluent,Other
CUST0000623303,Less Affluent,Other
CUST0000092645,Mid Market,Young Adults
CUST0000619787,Up Market,Pensioners
CUST0000169887,Mid Market,
CUST0000772617,Mid Market,Young Adults
CUST0000098337,Mid Market,Other
CUST0000352075,Less Affluent,
CUST0000659863,Up Market,Other
CUST0000816072,Mid Market,Older Adults
CUST0000817082,Mid Market,Young Families
CUST0000741143,Mid Market,Other
CUST0000203993,Up Market,Young Adults
CUST0000634671,Less Affluent,
CUST0000881364,Up Market,Older Adults
CUST0000975940,Up Market,Older Families
CUST0000960424,Up Market,Other
CUST0000287937,Less Affluent,Other
CUST0000908384,Mid Market,
CUST0000101185,Less Affluent,Older Adults
CUST0000254439,Up Market,Young Adults
CUST0000445045,Mid Market,Young Families
CUST0000467424,Mid Market,Young Families
CUST0000255714,Mid Market,Older Adults
CUST0000265274,Up Market,Young Adults
CUST0000834065,Less Affluent,Young Families
CUST0000640297,Mid Market,Other
CUST0000362641,Less Affluent,Young Families
CUST0000841039,Up Market,Older Adults
CUST0000149372,Less Affluent,Young Families
CUST0000741765,Up Market,Young Adults
CUST0000308627,Up Market,Other
CUST0000393495,Mid Market,Older Adults
CUST0000157823,Up Market,Young Families
CUST0000313963,Up Market,Older Adults
CUST0000054749,Less Affluent,Young Adults
CUST0000872127,Mid Market,Young Families
CUST0000158544,Mid Market,Pensioners
CUST0000201801,Up Market,Other
CUST0000407072,Up Market,Older Adults
CUST0000440403,Mid Market,Young Families
CUST0000843662,Up Market,Pensioners
